,ID,Score,Program
0,KUCAT_2019_1,443,civil
1,KUCAT_2019_2,577,civil
2,KUCAT_2019_3,793,bio
3,KUCAT_2019_4,777,civil
4,KUCAT_2019_5,720,ce
5,KUCAT_2019_6,427,pharma
6,KUCAT_2019_7,918,bio
7,KUCAT_2019_8,542,civil
8,KUCAT_2019_9,1047,ce
9,KUCAT_2019_10,424,geo
10,KUCAT_2019_11,581,civil
11,KUCAT_2019_12,760,civil
12,KUCAT_2019_13,556,enve
13,KUCAT_2019_14,1003,civil
14,KUCAT_2019_15,867,design
15,KUCAT_2019_16,909,civil
16,KUCAT_2019_17,692,civil
17,KUCAT_2019_18,769,civil
18,KUCAT_2019_19,1027,civil
19,KUCAT_2019_20,840,auto
20,KUCAT_2019_21,818,chem
21,KUCAT_2019_22,892,geo
22,KUCAT_2019_23,1072,civil
23,KUCAT_2019_24,792,chem
24,KUCAT_2019_25,741,civil
25,KUCAT_2019_26,925,geo
26,KUCAT_2019_27,1214,ce
27,KUCAT_2019_282(See endnotes),625,civil
28,KUCAT_2019_29,718,ce
29,KUCAT_2019_30,660,civil
30,KUCAT_2019_31,615,ce
31,KUCAT_2019_32,941,ce
32,KUCAT_2019_33,648,geo
33,KUCAT_2019_34,796,civil
34,KUCAT_2019_35,872,civil
35,KUCAT_2019_36,792,civil
36,KUCAT_2019_37,641,arch
37,KUCAT_2019_38,527,envs
38,KUCAT_2019_39,757,civil
39,KUCAT_2019_40,825,communication
40,KUCAT_2019_41,760,communication
41,KUCAT_2019_42,534,hydro
42,KUCAT_2019_43,912,civil
43,KUCAT_2019_1,443,civil
44,KUCAT_2019_2,577,civil
45,KUCAT_2019_3,793,bio
46,KUCAT_2019_4,777,civil
47,KUCAT_2019_5,720,ce
48,KUCAT_2019_6,427,pharma
49,KUCAT_2019_7,918,bio
50,KUCAT_2019_8,542,civil
51,KUCAT_2019_9,1047,ce
52,KUCAT_2019_10,424,geo
53,KUCAT_2019_11,581,civil
54,KUCAT_2019_12,760,civil
55,KUCAT_2019_13,556,enve
56,KUCAT_2019_14,1003,civil
57,KUCAT_2019_15,867,design
58,KUCAT_2019_16,909,civil
59,KUCAT_2019_17,692,civil
60,KUCAT_2019_18,769,civil
61,KUCAT_2019_19,1027,civil
62,KUCAT_2019_20,840,auto
63,KUCAT_2019_21,818,chem
64,KUCAT_2019_22,892,geo
65,KUCAT_2019_23,1072,civil
