Year,ID,Exam Type,Score,Program
2019,KUCAT_2019_1,KUCAT-PCM,443,Civil
2019,KUCAT_2019_2,KUCAT-PCM,577,Civil
2019,KUCAT_2019_3,KUCAT-PCB,793,Bio
2019,KUCAT_2019_4,KUCAT-PCM,777,Civil
2019,KUCAT_2019_5,KUCAT-PCM,720,CE
2019,KUCAT_2019_6,KUCAT-PCB,427,Pharma
2019,KUCAT_2019_7,KUCAT-PCB,918,Bio
2019,KUCAT_2019_8,KUCAT-PCM,542,Civil
2019,KUCAT_2019_9,KUCAT-PCM,1047,CE
2019,KUCAT_2019_10,KUCAT-PCM,424,Geo
2019,KUCAT_2019_11,KUCAT-PCM,581,Civil
2019,KUCAT_2019_12,KUCAT-PCM,760,Civil
2019,KUCAT_2019_13,KUCAT-PCM,556,Enve
2019,KUCAT_2019_14,KUCAT-PCM,1003,Civil
2019,KUCAT_2019_15,KUCAT-PCM,867,Design
2019,KUCAT_2019_16,KUCAT-PCM,909,Civil
2019,KUCAT_2019_17,KUCAT-PCM,692,Civil
2019,KUCAT_2019_18,KUCAT-PCM,769,Civil
2019,KUCAT_2019_19,KUCAT-PCM,1027,Civil
2019,KUCAT_2019_20,KUCAT-PCM,840,Auto
2019,KUCAT_2019_21,KUCAT-PCM,818,Chem
2019,KUCAT_2019_22,KUCAT-PCM,892,Geo
2019,KUCAT_2019_23,KUCAT-PCM,1072,Civil
2019,KUCAT_2019_24,KUCAT-PCM,792,Chem
2019,KUCAT_2019_25,KUCAT-PCM,741,Civil
2019,KUCAT_2019_26,KUCAT-PCM,925,Geo
2019,KUCAT_2019_27,KUCAT-PCM,1214,CE
2019,KUCAT_2019_282(See endnotes),KUCAT-PCM,625,Civil
2019,KUCAT_2019_29,KUCAT-PCM,718,CE
2019,KUCAT_2019_30,KUCAT-PCM,660,Civil
2019,KUCAT_2019_31,KUCAT-PCM,615,CE
2019,KUCAT_2019_32,KUCAT-PCM,941,CE
2019,KUCAT_2019_33,KUCAT-PCM,648,Geo
2019,KUCAT_2019_34,KUCAT-PCM,796,Civil
2019,KUCAT_2019_35,KUCAT-PCM,872,Civil
2019,KUCAT_2019_36,KUCAT-PCM,792,Civil
2019,KUCAT_2019_37,KUCAT-PCM,641,Arch
2019,KUCAT_2019_38,KUCAT-PCB,527,Envs
2019,KUCAT_2019_39,KUCAT-PCM,757,Civil
2019,KUCAT_2019_40,KUCAT-PCM,825,Communication
2019,KUCAT_2019_41,KUCAT-PCM,760,Communication
2019,KUCAT_2019_42,KUCAT-PCM,534,Hydro
2019,KUCAT_2019_43,KUCAT-PCM,912,Civil
2019,KUCAT_2019_1,KUCAT-PCM,443,Civil
2019,KUCAT_2019_2,KUCAT-PCM,577,Civil
2019,KUCAT_2019_3,KUCAT-PCB,793,Bio
2019,KUCAT_2019_4,KUCAT-PCM,777,Civil
2019,KUCAT_2019_5,KUCAT-PCM,720,CE
2019,KUCAT_2019_6,KUCAT-PCB,427,Pharma
2019,KUCAT_2019_7,KUCAT-PCB,918,Bio
2019,KUCAT_2019_8,KUCAT-PCM,542,Civil
2019,KUCAT_2019_9,KUCAT-PCM,1047,CE
2019,KUCAT_2019_10,KUCAT-PCM,424,Geo
2019,KUCAT_2019_11,KUCAT-PCM,581,Civil
2019,KUCAT_2019_12,KUCAT-PCM,760,Civil
2019,KUCAT_2019_13,KUCAT-PCM,556,Enve
2019,KUCAT_2019_14,KUCAT-PCM,1003,Civil
2019,KUCAT_2019_15,KUCAT-PCM,867,Design
2019,KUCAT_2019_16,KUCAT-PCM,909,Civil
2019,KUCAT_2019_17,KUCAT-PCM,692,Civil
2019,KUCAT_2019_18,KUCAT-PCM,769,Civil
2019,KUCAT_2019_19,KUCAT-PCM,1027,Civil
2019,KUCAT_2019_20,KUCAT-PCM,840,Auto
2019,KUCAT_2019_21,KUCAT-PCM,818,Chem
2019,KUCAT_2019_22,KUCAT-PCM,892,Geo
2019,KUCAT_2019_23,KUCAT-PCM,1072,Civil
2019,KUCAT_2019_24,KUCAT-PCM,792,Chem
2019,KUCAT_2019_25,KUCAT-PCM,741,Civil
2019,KUCAT_2019_26,KUCAT-PCM,925,Geo
2019,KUCAT_2019_27,KUCAT-PCM,1214,CE
2019,KUCAT_2019_282(See endnotes),KUCAT-PCM,625,Civil
2019,KUCAT_2019_29,KUCAT-PCM,718,CE
2019,KUCAT_2019_30,KUCAT-PCM,660,Civil
2019,KUCAT_2019_31,KUCAT-PCM,615,CE
2019,KUCAT_2019_32,KUCAT-PCM,941,CE
2019,KUCAT_2019_33,KUCAT-PCM,648,Geo
2019,KUCAT_2019_34,KUCAT-PCM,796,Civil
2019,KUCAT_2019_35,KUCAT-PCM,872,Civil
2019,KUCAT_2019_36,KUCAT-PCM,792,Civil
2019,KUCAT_2019_37,KUCAT-PCM,641,Arch
2019,KUCAT_2019_38,KUCAT-PCB,527,Envs
2019,KUCAT_2019_39,KUCAT-PCM,757,Civil
2019,KUCAT_2019_40,KUCAT-PCM,825,Communication
2019,KUCAT_2019_41,KUCAT-PCM,760,Communication
2019,KUCAT_2019_42,KUCAT-PCM,534,Hydro
2019,KUCAT_2019_43,KUCAT-PCM,912,Civil
2019,KUCAT_2019_44,KUCAT-PCM,988,Design
2019,KUCAT_2019_45,KUCAT-PCM,865,Geo
2019,KUCAT_2019_46,KUCAT-PCM,605,CE
2019,KUCAT_2019_47,KUCAT-PCM,518,Auto
2019,KUCAT_2019_48,KUCAT-PCM,615,CE
2019,KUCAT_2019_49,KUCAT-PCM,724,Civil
2019,KUCAT_2019_50,KUCAT-PCB,652,Pharma
2019,KUCAT_2019_51,KUCAT-PCM,675,CE
2019,KUCAT_2019_52,KUCAT-PCB,1004,Bio
2019,KUCAT_2019_53,KUCAT-PCM,474,Civil
2019,KUCAT_2019_54,KUCAT-PCB,639,Pharma
2019,KUCAT_2019_55,KUCAT-PCB,569,Pharma
2019,KUCAT_2019_56,KUCAT-PCB,511,Bio
2019,KUCAT_2019_57,KUCAT-PCM,622,Civil
2019,KUCAT_2019_58,KUCAT-PCM,702,Civil
2019,KUCAT_2019_59,KUCAT-PCM,541,CE
2019,KUCAT_2019_60,KUCAT-PCM,681,CE
2019,KUCAT_2019_61,KUCAT-PCM,868,Chem
2019,KUCAT_2019_62,KUCAT-PCM,919,Arch
2019,KUCAT_2019_63,KUCAT-PCM,1265,Civil
2019,KUCAT_2019_64,KUCAT-PCM,772,Geo
2019,KUCAT_2019_65,KUCAT-PCM,1258,Civil
2019,KUCAT_2019_66,KUCAT-PCM,1118,CE
2019,KUCAT_2019_67,KUCAT-PCM,859,Geo
2019,KUCAT_2019_68,KUCAT-PCM,674,CE
2019,KUCAT_2019_69,KUCAT-PCM,623,CE
2019,KUCAT_2019_70,KUCAT-PCM,1169,Design
2019,KUCAT_2019_71,KUCAT-PCM,705,CE
2019,KUCAT_2019_72,KUCAT-PCM,768,CE
2019,KUCAT_2019_73,KUCAT-PCM,492,Civil
2019,KUCAT_2019_74,KUCAT-PCM,524,Arch
2019,KUCAT_2019_75,KUCAT-PCB,531,Bio
2019,KUCAT_2019_76,KUCAT-PCM,793,CE
2019,KUCAT_2019_77,KUCAT-PCM,732,Arch
2019,KUCAT_2019_78,KUCAT-PCB,633,Bio
2019,KUCAT_2019_79,KUCAT-PCM,784,CE
2019,KUCAT_2019_80,KUCAT-PCM,642,CE
2019,KUCAT_2019_81,KUCAT-PCM,804,Arch
2019,KUCAT_2019_82,KUCAT-PCM,914,CE
2019,KUCAT_2019_83,KUCAT-PCB,589,Pharma
2019,KUCAT_2019_84,KUCAT-PCM,832,CE
